frame	probe_ms	comp_l	green_l	slip	status
1036	8305.7	588	590	2	ok
1037	8322.3	588	590	2	ok
1038	8339.0	588	590	2	ok
1039	8355.7	588	590	2	ok
1040	8372.3	588	590	2	ok
1041	8389.0	588	590	2	ok
1042	8405.7	588	590	2	ok
1043	8422.3	588	590	2	ok
1044	8439.0	588	590	2	ok
1045	8455.7	588	590	2	ok
1046	8472.3	588	590	2	ok
1047	8489.0	588	590	2	ok
1048	8505.7	588	590	2	ok
1049	8522.3	588	590	2	ok
1050	8539.0	588	590	2	ok
1051	8555.7	588	590	2	ok
1052	8572.3	588	590	2	ok
1053	8589.0	588	590	2	ok
1054	8605.7	588	590	2	ok
1055	8622.3	588	590	2	ok
1056	8639.0	588	590	2	ok
1057	8655.7	588	590	2	ok
1058	8672.3	588	590	2	ok
1059	8689.0	588	590	2	ok
1060	8705.7	588	590	2	ok
1061	8722.3	588	590	2	ok
1062	8739.0	588	590	2	ok
1063	8755.7	588	590	2	ok
1064	8772.3	588	590	2	ok
1065	8789.0	588	590	2	ok
1066	8805.7	588	590	2	ok
1067	8822.3	588	590	2	ok
1068	8839.0	588	590	2	ok
1069	8855.7	588	590	2	ok
1070	8872.3	588	590	2	ok
1071	8889.0	588	590	2	ok
1072	8905.7	588	590	2	ok
1073	8922.3	588	590	2	ok
1074	8939.0	588	590	2	ok
1075	8955.7	588	590	2	ok
1076	8972.3	588	590	2	ok
1077	8989.0	588	590	2	ok
1078	9005.7	588	590	2	ok
1079	9022.3	588	590	2	ok
1080	9039.0	588	590	2	ok
1081	9055.7	588	590	2	ok
1082	9072.3	588	590	2	ok
1083	9089.0	588	590	2	ok
1084	9105.7	588	590	2	ok
1085	9122.3	588	590	2	ok
1086	9139.0	588	590	2	ok
1087	9155.7	588	590	2	ok
1088	9172.3	588	590	2	ok
1089	9189.0	588	590	2	ok
1090	9205.7	588	590	2	ok
1091	9222.3	588	590	2	ok
1092	9239.0	588	590	2	ok
1093	9255.7	588	590	2	ok
1094	9272.3	588	590	2	ok
1095	9289.0	588	590	2	ok
1096	9305.7	588	590	2	ok
1097	9322.3	588	590	2	ok
1098	9339.0	588	590	2	ok
1099	9355.7	588	590	2	ok
1100	9372.3	588	590	2	ok
1101	9389.0	588	590	2	ok
1102	9405.7	588	590	2	ok
1103	9422.3	588	590	2	ok
1104	9439.0	588	590	2	ok
1105	9455.7	588	590	2	ok
1106	9472.3	588	590	2	ok
1107	9489.0	588	590	2	ok
1108	9505.7	588	590	2	ok
1109	9522.3	588	590	2	ok
1110	9539.0	588	590	2	ok
1111	9555.7	588	590	2	ok
1112	9572.3	588	590	2	ok
1113	9589.0	588	590	2	ok
1114	9605.7	588	590	2	ok
1115	9622.3	588	590	2	ok
1116	9639.0	588	590	2	ok
1117	9655.7	588	590	2	ok
1118	9672.3	588	590	2	ok
1119	9689.0	588	590	2	ok
1120	9705.7	588	590	2	ok
1121	9722.3	588	590	2	ok
1122	9739.0	588	590	2	ok
1123	9755.7	588	590	2	ok
1124	9772.3	588	590	2	ok
1125	9789.0	588	590	2	ok
1126	9805.7	588	590	2	ok
1127	9822.3	588	590	2	ok
1128	9839.0	588	590	2	ok
1129	9855.7	588	590	2	ok
1130	9872.3	588	590	2	ok
1131	9889.0	588	590	2	ok
1132	9905.7	588	590	2	ok
1133	9922.3	588	590	2	ok
1134	9939.0	588	590	2	ok
1135	9955.7	588	590	2	ok
1136	9972.3	588	590	2	ok
1137	9989.0	588	590	2	ok
1138	10005.7	588	590	2	ok
1139	10022.3	588	590	2	ok
1140	10039.0	588	590	2	ok
1141	10055.7	588	590	2	ok
1142	10072.3	588	590	2	ok
1143	10089.0	588	590	2	ok
1144	10105.7	588	590	2	ok
1145	10122.3	588	590	2	ok
1146	10139.0	588	590	2	ok
1147	10155.7	588	590	2	ok
1148	10172.3	588	590	2	ok
1149	10189.0	588	590	2	ok
1150	10205.7	588	590	2	ok
1151	10222.3	588	590	2	ok
1152	10239.0	588	590	2	ok
1153	10255.7	588	590	2	ok
1154	10272.3	588	590	2	ok
1155	10289.0	588	590	2	ok
1156	10305.7	588	590	2	ok
