# onion skin A3e paint log
# comp	1920	1080
# stale_ms	100.0
t_ms	src_t_ms	tx	ty	sx	have_stale	stale_t_ms	stale_tx	stale_ty	paint_ms
6837.130	6825.774	263.00	101.00	0.500000	1	6725.551	263.00	101.00	1.7071
6853.624	6842.095	263.00	101.00	0.500000	1	6742.175	263.00	101.00	1.7519
6884.724	6875.663	263.00	101.00	0.500000	1	6775.496	263.00	101.00	1.4338
6901.569	6892.236	263.00	101.00	0.500000	1	6792.153	263.00	101.00	1.3781
6933.602	6909.611	263.00	101.00	0.500000	1	6825.774	263.00	101.00	1.4991
6964.746	6942.226	263.00	101.00	0.500000	1	6858.827	263.00	101.00	1.5107
6981.763	6958.939	263.00	101.00	0.500000	1	6875.663	263.00	101.00	1.7319
7012.670	6992.877	263.00	101.00	0.500000	1	6909.611	263.00	101.00	1.4611
7028.913	7009.235	263.00	101.00	0.500000	1	6926.170	263.00	101.00	1.5084
7053.832	7042.202	263.00	101.00	0.500000	1	6942.226	263.00	101.00	1.5665
7087.247	7075.364	263.00	101.00	0.500000	1	6975.557	263.00	101.00	2.1927
7103.791	7092.263	263.00	101.00	0.500000	1	6992.877	263.00	101.00	1.6417
7137.117	7125.869	263.00	101.00	0.500000	1	7025.444	263.00	101.00	1.5720
7156.564	7142.315	263.00	101.00	0.500000	1	7042.202	263.00	101.00	1.4616
7187.267	7175.782	263.00	101.00	0.500000	1	7075.364	263.00	101.00	1.6986
7218.604	7208.657	263.00	101.00	0.500000	1	7108.983	263.00	101.00	1.5352
7228.555	7208.657	263.00	101.00	0.500000	1	7125.869	263.00	101.00	1.5135
7263.593	7242.852	263.00	101.00	0.500000	1	7158.935	263.00	101.00	1.5265
7270.525	7259.206	263.00	101.00	0.500000	1	7158.935	263.00	101.00	1.5277
7301.682	7292.203	263.00	101.00	0.500000	1	7192.089	263.00	101.00	1.4181
7332.924	7309.083	263.00	101.00	0.500000	1	7225.829	263.00	101.00	1.5217
7349.552	7325.868	263.00	101.00	0.500000	1	7242.852	263.00	101.00	1.5675
7380.711	7359.580	263.00	101.00	0.500000	1	7275.563	263.00	101.00	1.4839
7396.759	7375.252	263.00	101.00	0.500000	1	7292.203	263.00	101.00	1.8059
7429.410	7408.863	263.00	101.00	0.500000	1	7325.868	263.00	101.00	1.4734
7461.580	7443.103	263.00	101.00	0.500000	1	7359.580	263.00	101.00	1.6477
7477.677	7459.079	263.00	101.00	0.500000	1	7375.252	263.00	101.00	2.0222
7509.666	7492.731	263.00	101.00	0.500000	1	7408.863	263.00	101.00	1.5460
7520.852	7509.001	263.00	101.00	0.500000	1	7408.863	263.00	101.00	1.7797
7557.624	7542.504	263.00	101.00	0.500000	1	7443.103	263.00	101.00	1.6321
7587.209	7575.475	263.00	101.00	0.500000	1	7475.824	263.00	101.00	1.6642
7603.868	7592.095	263.00	101.00	0.500000	1	7492.731	263.00	101.00	1.7244
7637.000	7625.698	263.00	101.00	0.500000	1	7525.897	263.00	101.00	1.6109
7653.679	7642.335	263.00	101.00	0.500000	1	7542.504	263.00	101.00	2.1293
7684.696	7675.374	263.00	101.00	0.500000	1	7575.475	263.00	101.00	1.4233
7717.955	7709.147	263.00	101.00	0.500000	1	7608.730	263.00	101.00	1.6385
7733.758	7709.147	263.00	101.00	0.500000	1	7625.698	263.00	101.00	1.7329
7764.890	7742.164	263.00	101.00	0.500000	1	7658.711	263.00	101.00	1.5488
7770.552	7758.834	263.00	101.00	0.500000	1	7658.711	263.00	101.00	2.0305
7803.912	7792.700	263.00	101.00	0.500000	1	7692.633	263.00	101.00	1.5763
7837.289	7825.980	263.00	101.00	0.500000	1	7725.307	263.00	101.00	1.5647
7853.838	7842.373	263.00	101.00	0.500000	1	7742.164	263.00	101.00	1.9147
7887.179	7875.728	263.00	101.00	0.500000	1	7775.521	263.00	101.00	1.6872
7903.871	7892.003	263.00	101.00	0.500000	1	7792.700	263.00	101.00	1.5154
7937.266	7926.258	263.00	101.00	0.500000	1	7825.980	263.00	101.00	1.6466
7957.587	7942.757	263.00	101.00	0.500000	1	7842.373	263.00	101.00	1.6738
7982.512	7958.920	263.00	101.00	0.500000	1	7875.728	263.00	101.00	1.5303
8005.550	7992.457	263.00	101.00	0.500000	1	7892.003	263.00	101.00	1.4591
8020.542	8008.648	263.00	101.00	0.500000	1	7908.649	263.00	101.00	1.5997
8053.812	8042.538	263.00	101.00	0.500000	1	7942.757	263.00	101.00	1.8283
8085.581	8075.883	263.00	101.00	0.500000	1	7975.994	263.00	101.00	1.5397
8102.061	8092.655	263.00	101.00	0.500000	1	7992.457	263.00	101.00	1.3796
8133.656	8109.356	263.00	101.00	0.500000	1	8025.539	263.00	101.00	1.4937
8149.647	8125.540	263.00	101.00	0.500000	1	8042.538	263.00	101.00	1.6270
8181.643	8159.386	263.00	101.00	0.500000	1	8075.883	263.00	101.00	1.5856
8207.389	8192.188	263.00	101.00	0.500000	1	8092.655	263.00	101.00	1.6578
8229.432	8208.747	263.00	101.00	0.500000	1	8125.540	263.00	101.00	1.5778
8255.437	8242.303	263.00	101.00	0.500000	1	8142.443	263.00	101.00	1.4395
8270.601	8258.907	263.00	101.00	0.500000	1	8159.386	263.00	101.00	1.6155
8302.573	8292.342	263.00	101.00	0.500000	1	8192.188	263.00	101.00	1.4521
8334.022	8309.197	263.00	101.00	0.500000	1	8225.567	263.00	101.00	1.5767
8349.472	8326.493	263.00	101.00	0.500000	1	8242.303	263.00	101.00	1.4718
8381.409	8358.974	263.00	101.00	0.500000	1	8275.582	263.00	101.00	1.5595
8396.900	8375.398	263.00	101.00	0.500000	1	8292.342	263.00	101.00	1.4062
8429.026	8409.163	263.00	101.00	0.500000	1	8326.493	263.00	101.00	1.4820
8459.482	8443.071	263.00	101.00	0.500000	1	8358.974	263.00	101.00	1.5967
8475.783	8459.091	263.00	101.00	0.500000	1	8375.398	263.00	101.00	1.8395
8506.856	8492.855	263.00	101.00	0.500000	1	8392.236	263.00	101.00	1.4342
8520.550	8508.753	263.00	101.00	0.500000	1	8409.163	263.00	101.00	2.1727
8553.257	8542.360	263.00	101.00	0.500000	1	8443.071	263.00	101.00	1.4221
8584.460	8575.322	263.00	101.00	0.500000	1	8476.261	263.00	101.00	1.3793
8600.707	8591.902	263.00	101.00	0.500000	1	8492.855	263.00	101.00	1.3922
8629.744	8609.051	263.00	101.00	0.500000	1	8525.653	263.00	101.00	1.6145
8645.084	8625.751	263.00	101.00	0.500000	1	8542.360	263.00	101.00	1.9720
8677.663	8660.597	263.00	101.00	0.500000	1	8575.322	263.00	101.00	2.1238
8709.735	8692.207	263.00	101.00	0.500000	1	8609.051	263.00	101.00	1.5528
8724.954	8708.672	263.00	101.00	0.500000	1	8609.051	263.00	101.00	1.6600
8756.508	8742.224	263.00	101.00	0.500000	1	8642.803	263.00	101.00	1.4427
8770.509	8758.847	263.00	101.00	0.500000	1	8660.597	263.00	101.00	1.7937
8803.872	8792.774	263.00	101.00	0.500000	1	8692.207	263.00	101.00	1.7604
8835.351	8825.600	263.00	101.00	0.500000	1	8725.315	263.00	101.00	1.4188
8850.925	8842.499	263.00	101.00	0.500000	1	8742.224	263.00	101.00	1.3720
8881.536	8859.176	263.00	101.00	0.500000	1	8775.503	263.00	101.00	1.5215
8896.748	8875.767	263.00	101.00	0.500000	1	8792.774	263.00	101.00	2.3265
8928.219	8909.340	263.00	101.00	0.500000	1	8825.600	263.00	101.00	1.7190
8959.722	8943.096	263.00	101.00	0.500000	1	8859.176	263.00	101.00	1.5623
8976.296	8959.759	263.00	101.00	0.500000	1	8875.767	263.00	101.00	1.5205
9006.918	8992.229	263.00	101.00	0.500000	1	8892.656	263.00	101.00	1.4341
9020.554	9008.785	263.00	101.00	0.500000	1	8909.340	263.00	101.00	1.5579
9053.953	9042.361	263.00	101.00	0.500000	1	8943.096	263.00	101.00	1.6305
9085.932	9075.474	263.00	101.00	0.500000	1	8975.600	263.00	101.00	1.4076
9103.806	9092.554	263.00	101.00	0.500000	1	8992.229	263.00	101.00	1.6056
9132.464	9109.124	263.00	101.00	0.500000	1	9025.422	263.00	101.00	1.6477
9147.977	9125.816	263.00	101.00	0.500000	1	9042.361	263.00	101.00	1.4723
9177.937	9159.528	263.00	101.00	0.500000	1	9075.474	263.00	101.00	1.5526
9209.608	9192.358	263.00	101.00	0.500000	1	9109.124	263.00	101.00	1.6303
9224.554	9209.402	263.00	101.00	0.500000	1	9109.124	263.00	101.00	1.8402
9254.803	9242.468	263.00	101.00	0.500000	1	9142.878	263.00	101.00	1.5465
9270.573	9258.803	263.00	101.00	0.500000	1	9159.528	263.00	101.00	1.6173
9301.415	9292.591	263.00	101.00	0.500000	1	9192.358	263.00	101.00	1.4842
9332.419	9309.279	263.00	101.00	0.500000	1	9225.981	263.00	101.00	1.5624
9349.895	9325.909	263.00	101.00	0.500000	1	9242.468	263.00	101.00	1.4666
9379.760	9359.366	263.00	101.00	0.500000	1	9275.527	263.00	101.00	1.4868
9396.941	9375.838	263.00	101.00	0.500000	1	9292.591	263.00	101.00	1.5855
9429.559	9409.459	263.00	101.00	0.500000	1	9325.909	263.00	101.00	1.5617
9461.519	9442.725	263.00	101.00	0.500000	1	9359.366	263.00	101.00	1.6345
9477.183	9459.715	263.00	101.00	0.500000	1	9375.838	263.00	101.00	1.6284
9509.399	9492.832	263.00	101.00	0.500000	1	9392.719	263.00	101.00	1.6642
9520.524	9509.305	263.00	101.00	0.500000	1	9409.459	263.00	101.00	1.8776
9553.923	9543.210	263.00	101.00	0.500000	1	9442.725	263.00	101.00	1.8588
9587.201	9575.585	263.00	101.00	0.500000	1	9476.479	263.00	101.00	2.0252
9603.944	9592.332	263.00	101.00	0.500000	1	9492.832	263.00	101.00	1.8207
9636.566	9625.923	263.00	101.00	0.500000	1	9526.268	263.00	101.00	1.7214
9652.201	9642.304	263.00	101.00	0.500000	1	9543.210	263.00	101.00	1.4122
9683.169	9659.147	263.00	101.00	0.500000	1	9575.585	263.00	101.00	2.0357
9713.511	9693.004	263.00	101.00	0.500000	1	9609.211	263.00	101.00	1.9445
9727.484	9709.228	263.00	101.00	0.500000	1	9625.923	263.00	101.00	1.6214
9759.656	9742.538	263.00	101.00	0.500000	1	9659.147	263.00	101.00	2.2030
9775.224	9758.913	263.00	101.00	0.500000	1	9659.147	263.00	101.00	1.6564
9803.888	9792.455	263.00	101.00	0.500000	1	9693.004	263.00	101.00	1.7678
9836.816	9825.814	263.00	101.00	0.500000	1	9725.951	263.00	101.00	2.0246
9854.034	9842.516	263.00	101.00	0.500000	1	9742.538	263.00	101.00	1.7253
9883.715	9859.269	263.00	101.00	0.500000	1	9775.656	263.00	101.00	1.6031
9897.407	9876.063	263.00	101.00	0.500000	1	9792.455	263.00	101.00	1.6781
9930.812	9909.136	263.00	101.00	0.500000	1	9825.814	263.00	101.00	1.7032
9957.645	9942.112	263.00	101.00	0.500000	1	9842.516	263.00	101.00	2.0485
9973.594	9960.024	263.00	101.00	0.500000	1	9859.269	263.00	101.00	1.5678
10005.458	9992.661	263.00	101.00	0.500000	1	9892.739	263.00	101.00	1.4408
10020.502	10008.937	263.00	101.00	0.500000	1	9909.136	263.00	101.00	1.8638
10053.529	10042.470	263.00	101.00	0.500000	1	9942.112	263.00	101.00	1.9524
10085.573	10075.513	263.00	101.00	0.500000	1	9976.918	263.00	101.00	1.4140
10101.618	10092.354	263.00	101.00	0.500000	1	9992.661	263.00	101.00	1.5283
10133.746	10108.994	263.00	101.00	0.500000	1	10025.533	263.00	101.00	1.4943
10149.743	10125.510	263.00	101.00	0.500000	1	10042.470	263.00	101.00	1.6757
10180.729	10160.068	263.00	101.00	0.500000	1	10075.513	263.00	101.00	1.8137
10211.507	10192.254	263.00	101.00	0.500000	1	10108.994	263.00	101.00	1.8744
10229.453	10209.112	263.00	101.00	0.500000	1	10125.510	263.00	101.00	1.5069
10258.555	10242.408	263.00	101.00	0.500000	1	10143.017	263.00	101.00	2.2136
10270.576	10258.879	263.00	101.00	0.500000	1	10160.068	263.00	101.00	1.6499
10303.915	10292.597	263.00	101.00	0.500000	1	10192.254	263.00	101.00	2.1035
10335.777	10325.590	263.00	101.00	0.500000	1	10225.944	263.00	101.00	1.3749
10351.380	10342.238	263.00	101.00	0.500000	1	10242.408	263.00	101.00	1.3992
10382.632	10358.904	263.00	101.00	0.500000	1	10275.827	263.00	101.00	1.5724
10398.563	10375.669	263.00	101.00	0.500000	1	10292.597	263.00	101.00	1.6105
10428.938	10408.978	263.00	101.00	0.500000	1	10325.590	263.00	101.00	1.5225
10459.549	10442.277	263.00	101.00	0.500000	1	10358.904	263.00	101.00	1.5682
10475.557	10458.968	263.00	101.00	0.500000	1	10358.904	263.00	101.00	1.7444
10506.623	10493.081	263.00	101.00	0.500000	1	10392.385	263.00	101.00	1.4460
10520.540	10508.889	263.00	101.00	0.500000	1	10408.978	263.00	101.00	1.6707
10553.849	10542.519	263.00	101.00	0.500000	1	10442.277	263.00	101.00	1.6355
10586.183	10575.507	263.00	101.00	0.500000	1	10476.315	263.00	101.00	1.9776
10603.853	10592.146	263.00	101.00	0.500000	1	10493.081	263.00	101.00	1.5090
10629.521	10608.819	263.00	101.00	0.500000	1	10525.645	263.00	101.00	1.5366
10645.091	10625.735	263.00	101.00	0.500000	1	10542.519	263.00	101.00	1.9268
10677.102	10659.142	263.00	101.00	0.500000	1	10575.507	263.00	101.00	2.0242
10709.459	10694.685	263.00	101.00	0.500000	1	10608.819	263.00	101.00	1.5930
10725.522	10709.599	263.00	101.00	0.500000	1	10608.819	263.00	101.00	1.7555
10756.708	10742.533	263.00	101.00	0.500000	1	10642.504	263.00	101.00	1.4664
10772.913	10759.014	263.00	101.00	0.500000	1	10659.142	263.00	101.00	1.4710
